Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,463.79,510.17,39.69,32.76,spp.org,false,
2023-01-01 01:00:00,USA,Southwest Power Pool,US-CENT-SWPP,428.57,470.96,44.99,38.03,spp.org,false,
2023-01-01 02:00:00,USA,Southwest Power Pool,US-CENT-SWPP,411.89,451.87,47.76,40.63,spp.org,false,
2023-01-01 03:00:00,USA,Southwest Power Pool,US-CENT-SWPP,382.27,420.12,51.57,44.17,spp.org,false,
2023-01-01 04:00:00,USA,Southwest Power Pool,US-CENT-SWPP,385.78,423.42,51.28,43.71,spp.org,false,
2023-01-01 05:00:00,USA,Southwest Power Pool,US-CENT-SWPP,380.78,417.77,52.07,44.39,spp.org,false,
2023-01-01 06:00:00,USA,Southwest Power Pool,US-CENT-SWPP,391.45,429.78,50.4,42.63,spp.org,false,
2023-01-01 07:00:00,USA,Southwest Power Pool,US-CENT-SWPP,402.15,443.04,48.05,40.23,spp.org,false,
2023-01-01 08:00:00,USA,Southwest Power Pool,US-CENT-SWPP,404.53,444.2,48.53,40.43,spp.org,false,
2023-01-01 09:00:00,USA,Southwest Power Pool,US-CENT-SWPP,383.83,421.94,51.2,43.2,spp.org,false,
2023-01-01 10:00:00,USA,Southwest Power Pool,US-CENT-SWPP,383.41,422.3,50.81,42.87,spp.org,false,
2023-01-01 11:00:00,USA,Southwest Power Pool,US-CENT-SWPP,401.71,442.31,48.24,40.5,spp.org,false,
2023-01-01 12:00:00,USA,Southwest Power Pool,US-CENT-SWPP,413.13,453.7,47.3,39.53,spp.org,false,
2023-01-01 13:00:00,USA,Southwest Power Pool,US-CENT-SWPP,424.85,466.44,45.69,38.13,spp.org,false,
2023-01-01 14:00:00,USA,Southwest Power Pool,US-CENT-SWPP,425.24,467.01,45.57,38.18,spp.org,false,
2023-01-01 15:00:00,USA,Southwest Power Pool,US-CENT-SWPP,458.06,504.16,40.31,32.99,spp.org,false,
2023-01-01 16:00:00,USA,Southwest Power Pool,US-CENT-SWPP,501.91,552.78,33.82,26.42,spp.org,false,
2023-01-01 17:00:00,USA,Southwest Power Pool,US-CENT-SWPP,533.48,586.45,29.88,22.42,spp.org,false,
2023-01-01 18:00:00,USA,Southwest Power Pool,US-CENT-SWPP,549.31,603.11,28.01,20.37,spp.org,false,
2023-01-01 19:00:00,USA,Southwest Power Pool,US-CENT-SWPP,554.17,609.08,26.97,19.19,spp.org,false,
2023-01-01 20:00:00,USA,Southwest Power Pool,US-CENT-SWPP,582.09,638.58,23.61,16.01,spp.org,false,
2023-01-01 21:00:00,USA,Southwest Power Pool,US-CENT-SWPP,579.39,635.77,23.92,16.36,spp.org,false,
2023-01-01 22:00:00,USA,Southwest Power Pool,US-CENT-SWPP,560.58,616.75,25.72,18.3,spp.org,false,
2023-01-01 23:00:00,USA,Southwest Power Pool,US-CENT-SWPP,509.31,561.95,32.25,25.24,spp.org,false,
2023-01-02 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,445.19,490.02,42.22,35.31,spp.org,false,
2023-01-02 01:00:00,USA,Southwest Power Pool,US-CENT-SWPP,410.75,453.39,46.48,39.63,spp.org,false,
2023-01-02 02:00:00,USA,Southwest Power Pool,US-CENT-SWPP,396.16,438.15,48.13,41.1,spp.org,false,
2023-01-02 03:00:00,USA,Southwest Power Pool,US-CENT-SWPP,416.68,460.86,45.09,37.97,spp.org,false,
2023-01-02 04:00:00,USA,Southwest Power Pool,US-CENT-SWPP,423.96,468.03,44.42,36.89,spp.org,false,
2023-01-02 05:00:00,USA,Southwest Power Pool,US-CENT-SWPP,414.3,457.48,45.75,37.93,spp.org,false,
2023-01-02 06:00:00,USA,Southwest Power Pool,US-CENT-SWPP,409.94,451.5,47.0,39.07,spp.org,false,
