Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,165.36,237.58,58.02,30.4,iso-ne.com,false,
2023-01-01 01:00:00,USA,Iso New England Inc.,US-NE-ISNE,159.26,230.98,59.49,30.93,iso-ne.com,false,
2023-01-01 02:00:00,USA,Iso New England Inc.,US-NE-ISNE,168.59,242.92,57.01,27.88,iso-ne.com,false,
2023-01-01 03:00:00,USA,Iso New England Inc.,US-NE-ISNE,156.09,227.84,60.28,28.9,iso-ne.com,false,
2023-01-01 04:00:00,USA,Iso New England Inc.,US-NE-ISNE,144.02,213.22,63.42,30.24,iso-ne.com,false,
2023-01-01 05:00:00,USA,Iso New England Inc.,US-NE-ISNE,139.05,206.84,64.95,29.06,iso-ne.com,false,
2023-01-01 06:00:00,USA,Iso New England Inc.,US-NE-ISNE,134.04,201.34,66.18,28.89,iso-ne.com,false,
2023-01-01 07:00:00,USA,Iso New England Inc.,US-NE-ISNE,127.47,193.02,67.9,31.21,iso-ne.com,false,
2023-01-01 08:00:00,USA,Iso New England Inc.,US-NE-ISNE,117.98,180.75,70.41,33.45,iso-ne.com,false,
2023-01-01 09:00:00,USA,Iso New England Inc.,US-NE-ISNE,116.84,179.33,70.64,33.68,iso-ne.com,false,
2023-01-01 10:00:00,USA,Iso New England Inc.,US-NE-ISNE,113.86,175.28,71.38,35.17,iso-ne.com,false,
2023-01-01 11:00:00,USA,Iso New England Inc.,US-NE-ISNE,119.76,182.54,69.72,35.37,iso-ne.com,false,
2023-01-01 12:00:00,USA,Iso New England Inc.,US-NE-ISNE,121.71,184.85,69.12,35.62,iso-ne.com,false,
2023-01-01 13:00:00,USA,Iso New England Inc.,US-NE-ISNE,115.38,176.54,70.78,37.21,iso-ne.com,false,
2023-01-01 14:00:00,USA,Iso New England Inc.,US-NE-ISNE,116.72,178.59,70.4,37.24,iso-ne.com,false,
2023-01-01 15:00:00,USA,Iso New England Inc.,US-NE-ISNE,118.97,181.47,69.86,36.65,iso-ne.com,false,
2023-01-01 16:00:00,USA,Iso New England Inc.,US-NE-ISNE,125.33,189.6,68.09,35.62,iso-ne.com,false,
2023-01-01 17:00:00,USA,Iso New England Inc.,US-NE-ISNE,134.97,201.76,65.47,34.12,iso-ne.com,false,
2023-01-01 18:00:00,USA,Iso New England Inc.,US-NE-ISNE,129.05,194.54,67.05,34.5,iso-ne.com,false,
2023-01-01 19:00:00,USA,Iso New England Inc.,US-NE-ISNE,143.5,211.82,63.54,31.93,iso-ne.com,false,
2023-01-01 20:00:00,USA,Iso New England Inc.,US-NE-ISNE,158.79,229.97,59.78,29.89,iso-ne.com,false,
2023-01-01 21:00:00,USA,Iso New England Inc.,US-NE-ISNE,153.48,223.02,61.1,33.62,iso-ne.com,false,
2023-01-01 22:00:00,USA,Iso New England Inc.,US-NE-ISNE,155.11,224.65,60.6,34.52,iso-ne.com,false,
2023-01-01 23:00:00,USA,Iso New England Inc.,US-NE-ISNE,151.29,219.92,61.58,35.03,iso-ne.com,false,
2023-01-02 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,151.31,220.24,61.64,34.35,iso-ne.com,false,
2023-01-02 01:00:00,USA,Iso New England Inc.,US-NE-ISNE,158.11,229.14,59.93,31.75,iso-ne.com,false,
2023-01-02 02:00:00,USA,Iso New England Inc.,US-NE-ISNE,157.76,229.21,59.99,30.66,iso-ne.com,false,
2023-01-02 03:00:00,USA,Iso New England Inc.,US-NE-ISNE,152.36,222.62,61.45,29.72,iso-ne.com,false,
2023-01-02 04:00:00,USA,Iso New England Inc.,US-NE-ISNE,138.59,205.85,65.11,31.3,iso-ne.com,false,
2023-01-02 05:00:00,USA,Iso New England Inc.,US-NE-ISNE,126.04,190.33,68.44,32.57,iso-ne.com,false,
2023-01-02 06:00:00,USA,Iso New England Inc.,US-NE-ISNE,119.19,182.1,70.31,33.23,iso-ne.com,false,
2023-01-02 07:00:00,USA,Iso New England Inc.,US-NE-ISNE,120.46,183.43,69.92,33.22,iso-ne.com,false,
2023-01-02 08:00:00,USA,Iso New England Inc.,US-NE-ISNE,121.46,184.73,69.6,33.04,iso-ne.com,false,
2023-01-02 09:00:00,USA,Iso New England Inc.,US-NE-ISNE,130.36,195.58,67.34,31.72,iso-ne.com,false,
2023-01-02 10:00:00,USA,Iso New England Inc.,US-NE-ISNE,135.9,202.6,65.83,30.72,iso-ne.com,false,
2023-01-02 11:00:00,USA,Iso New England Inc.,US-NE-ISNE,149.87,219.46,62.2,29.61,iso-ne.com,false,
2023-01-02 12:00:00,USA,Iso New England Inc.,US-NE-ISNE,152.36,222.23,61.41,31.02,iso-ne.com,false,
2023-01-02 13:00:00,USA,Iso New England Inc.,US-NE-ISNE,144.4,212.12,63.38,33.91,iso-ne.com,false,
2023-01-02 14:00:00,USA,Iso New England Inc.,US-NE-ISNE,148.79,217.54,62.3,33.4,iso-ne.com,false,
2023-01-02 15:00:00,USA,Iso New England Inc.,US-NE-ISNE,149.53,218.48,62.15,33.49,iso-ne.com,false,
2023-01-02 16:00:00,USA,Iso New England Inc.,US-NE-ISNE,154.37,224.42,60.96,32.26,iso-ne.com,false,
2023-01-02 17:00:00,USA,Iso New England Inc.,US-NE-ISNE,159.31,230.66,59.68,31.33,iso-ne.com,false,
2023-01-02 18:00:00,USA,Iso New England Inc.,US-NE-ISNE,160.22,232.13,59.37,30.91,iso-ne.com,false,
2023-01-02 19:00:00,USA,Iso New England Inc.,US-NE-ISNE,159.84,231.66,59.44,31.39,iso-ne.com,false,
2023-01-02 20:00:00,USA,Iso New England Inc.,US-NE-ISNE,166.35,239.66,57.68,30.72,iso-ne.com,false,
2023-01-02 21:00:00,USA,Iso New England Inc.,US-NE-ISNE,169.66,243.09,56.82,32.07,iso-ne.com,false,
2023-01-02 22:00:00,USA,Iso New England Inc.,US-NE-ISNE,175.34,249.8,55.84,32.65,iso-ne.com,false,
2023-01-02 23:00:00,USA,Iso New England Inc.,US-NE-ISNE,171.01,244.46,56.7,33.12,iso-ne.com,false,
2023-01-03 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,171.64,245.42,56.36,31.77,iso-ne.com,false,
2023-01-03 01:00:00,USA,Iso New England Inc.,US-NE-ISNE,176.22,251.38,55.25,29.45,iso-ne.com,false,
