Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,USA,Idaho Power Company,US-NW-IPCO,390.46,444.89,47.31,46.59,eia.gov,false,
2023-01-01 01:00:00,USA,Idaho Power Company,US-NW-IPCO,405.6,460.91,45.75,45.07,eia.gov,false,
2023-01-01 02:00:00,USA,Idaho Power Company,US-NW-IPCO,453.05,511.42,40.34,39.61,eia.gov,false,
2023-01-01 03:00:00,USA,Idaho Power Company,US-NW-IPCO,472.47,531.3,38.31,37.48,eia.gov,false,
2023-01-01 04:00:00,USA,Idaho Power Company,US-NW-IPCO,468.49,527.97,38.25,37.36,eia.gov,false,
2023-01-01 05:00:00,USA,Idaho Power Company,US-NW-IPCO,470.38,530.28,37.79,36.85,eia.gov,false,
2023-01-01 06:00:00,USA,Idaho Power Company,US-NW-IPCO,501.48,562.46,34.77,33.9,eia.gov,false,
2023-01-01 07:00:00,USA,Idaho Power Company,US-NW-IPCO,517.72,576.53,34.68,33.79,eia.gov,false,
2023-01-01 08:00:00,USA,Idaho Power Company,US-NW-IPCO,546.6,607.9,31.33,30.44,eia.gov,false,
2023-01-01 09:00:00,USA,Idaho Power Company,US-NW-IPCO,546.86,609.15,30.67,29.76,eia.gov,false,
2023-01-01 10:00:00,USA,Idaho Power Company,US-NW-IPCO,535.65,597.71,31.75,30.86,eia.gov,false,
2023-01-01 11:00:00,USA,Idaho Power Company,US-NW-IPCO,534.36,595.95,32.1,31.24,eia.gov,false,
2023-01-01 12:00:00,USA,Idaho Power Company,US-NW-IPCO,517.11,578.71,33.36,32.52,eia.gov,false,
2023-01-01 13:00:00,USA,Idaho Power Company,US-NW-IPCO,503.57,564.84,34.5,33.64,eia.gov,false,
2023-01-01 14:00:00,USA,Idaho Power Company,US-NW-IPCO,483.5,542.74,37.13,36.3,eia.gov,false,
2023-01-01 15:00:00,USA,Idaho Power Company,US-NW-IPCO,446.82,507.34,39.1,38.51,eia.gov,false,
2023-01-01 16:00:00,USA,Idaho Power Company,US-NW-IPCO,461.94,521.36,39.0,38.5,eia.gov,false,
2023-01-01 17:00:00,USA,Idaho Power Company,US-NW-IPCO,460.21,519.33,39.28,38.7,eia.gov,false,
2023-01-01 18:00:00,USA,Idaho Power Company,US-NW-IPCO,462.5,520.26,39.96,39.25,eia.gov,false,
2023-01-01 19:00:00,USA,Idaho Power Company,US-NW-IPCO,451.53,509.05,40.84,39.94,eia.gov,false,
2023-01-01 20:00:00,USA,Idaho Power Company,US-NW-IPCO,456.88,514.49,40.39,39.65,eia.gov,false,
2023-01-01 21:00:00,USA,Idaho Power Company,US-NW-IPCO,442.74,499.8,41.87,41.15,eia.gov,false,
2023-01-01 22:00:00,USA,Idaho Power Company,US-NW-IPCO,447.5,504.92,41.36,40.9,eia.gov,false,
2023-01-01 23:00:00,USA,Idaho Power Company,US-NW-IPCO,444.24,502.81,40.92,40.63,eia.gov,false,
2023-01-02 00:00:00,USA,Idaho Power Company,US-NW-IPCO,436.57,496.76,40.36,40.16,eia.gov,false,
2023-01-02 01:00:00,USA,Idaho Power Company,US-NW-IPCO,446.95,507.04,39.62,39.4,eia.gov,false,
2023-01-02 02:00:00,USA,Idaho Power Company,US-NW-IPCO,451.9,511.95,39.07,38.84,eia.gov,false,
2023-01-02 03:00:00,USA,Idaho Power Company,US-NW-IPCO,462.13,522.47,38.16,37.91,eia.gov,false,
2023-01-02 04:00:00,USA,Idaho Power Company,US-NW-IPCO,456.08,515.58,39.04,38.76,eia.gov,false,
2023-01-02 05:00:00,USA,Idaho Power Company,US-NW-IPCO,450.15,509.62,39.34,39.04,eia.gov,false,
2023-01-02 06:00:00,USA,Idaho Power Company,US-NW-IPCO,450.82,509.62,39.65,39.25,eia.gov,false,
2023-01-02 07:00:00,USA,Idaho Power Company,US-NW-IPCO,451.66,511.07,39.32,38.93,eia.gov,false,
2023-01-02 08:00:00,USA,Idaho Power Company,US-NW-IPCO,457.23,517.19,38.52,38.03,eia.gov,false,
2023-01-02 09:00:00,USA,Idaho Power Company,US-NW-IPCO,452.94,512.43,39.25,38.8,eia.gov,false,
2023-01-02 10:00:00,USA,Idaho Power Company,US-NW-IPCO,457.18,517.35,38.49,38.15,eia.gov,false,
