Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,53.1,79.89,91.92,87.17,eia.gov,false,
2023-01-01 01:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,51.65,78.22,92.15,87.55,eia.gov,false,
2023-01-01 02:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,53.23,79.49,92.12,87.52,eia.gov,false,
2023-01-01 03:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,56.33,82.73,91.62,86.69,eia.gov,false,
2023-01-01 04:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,55.27,81.68,91.69,86.66,eia.gov,false,
2023-01-01 05:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,56.82,83.22,91.58,86.61,eia.gov,false,
2023-01-01 06:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,74.27,101.37,89.19,83.13,eia.gov,false,
2023-01-01 07:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,84.24,111.84,87.86,81.21,eia.gov,false,
2023-01-01 08:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,92.69,120.73,86.67,79.23,eia.gov,false,
2023-01-01 09:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,93.83,121.93,86.5,79.08,eia.gov,false,
2023-01-01 10:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,95.41,123.55,86.44,78.85,eia.gov,false,
2023-01-01 11:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,100.4,129.43,85.52,77.72,eia.gov,false,
2023-01-01 12:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,97.78,127.11,85.6,77.74,eia.gov,false,
2023-01-01 13:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,96.52,126.38,85.51,77.52,eia.gov,false,
2023-01-01 14:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,88.56,118.15,86.46,78.88,eia.gov,false,
2023-01-01 15:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,71.24,100.09,88.86,82.4,eia.gov,false,
2023-01-01 16:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,66.69,95.6,89.4,83.09,eia.gov,false,
2023-01-01 17:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,70.64,100.93,88.31,81.9,eia.gov,false,
2023-01-01 18:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,74.29,105.65,87.47,80.82,eia.gov,false,
2023-01-01 19:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,81.79,113.95,86.14,78.78,eia.gov,false,
2023-01-01 20:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,87.6,120.52,85.12,77.24,eia.gov,false,
2023-01-01 21:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,86.42,119.04,85.38,77.57,eia.gov,false,
2023-01-01 22:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,82.46,114.29,86.23,78.29,eia.gov,false,
2023-01-01 23:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,74.22,105.11,87.45,80.21,eia.gov,false,
2023-01-02 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,61.31,90.5,89.71,83.05,eia.gov,false,
2023-01-02 01:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,66.24,95.62,89.17,82.54,eia.gov,false,
2023-01-02 02:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,61.35,90.3,89.99,84.07,eia.gov,false,
2023-01-02 03:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,58.0,86.4,90.63,84.88,eia.gov,false,
2023-01-02 04:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,61.39,90.04,90.11,84.09,eia.gov,false,
2023-01-02 05:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,66.5,95.33,89.46,83.21,eia.gov,false,
2023-01-02 06:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,74.5,103.87,88.3,81.67,eia.gov,false,
2023-01-02 07:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,72.53,101.87,88.55,82.01,eia.gov,false,
2023-01-02 08:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,93.93,125.26,85.08,77.19,eia.gov,false,
2023-01-02 09:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,94.47,125.73,85.01,77.09,eia.gov,false,
2023-01-02 10:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,95.68,126.83,84.85,76.82,eia.gov,false,
2023-01-02 11:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,87.51,117.62,86.2,78.43,eia.gov,false,
2023-01-02 12:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,77.48,107.22,87.51,80.19,eia.gov,false,
2023-01-02 13:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,73.09,102.71,88.11,81.04,eia.gov,false,
2023-01-02 14:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,53.61,82.08,91.0,85.45,eia.gov,false,
2023-01-02 15:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,49.23,77.48,91.64,86.36,eia.gov,false,
2023-01-02 16:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,67.98,98.89,88.24,82.43,eia.gov,false,
2023-01-02 17:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,69.84,100.9,88.07,82.33,eia.gov,false,
2023-01-02 18:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,70.65,101.08,88.26,82.47,eia.gov,false,
2023-01-02 19:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,70.91,101.03,88.48,82.73,eia.gov,false,
2023-01-02 20:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,68.87,98.28,89.06,83.38,eia.gov,false,
2023-01-02 21:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,61.23,89.94,90.2,84.64,eia.gov,false,
2023-01-02 22:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,59.65,88.27,90.4,84.87,eia.gov,false,
2023-01-02 23:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,53.55,82.07,91.09,85.59,eia.gov,false,
2023-01-03 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,41.27,69.33,92.65,87.74,eia.gov,false,
2023-01-03 01:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,41.22,69.3,92.67,87.72,eia.gov,false,
2023-01-03 02:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,42.28,70.37,92.54,87.57,eia.gov,false,
2023-01-03 03:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,46.78,74.95,92.03,86.99,eia.gov,false,
2023-01-03 04:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,54.26,82.67,91.08,85.74,eia.gov,false,
2023-01-03 05:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,62.19,91.01,90.01,84.34,eia.gov,false,
2023-01-03 06:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,72.07,101.71,88.5,82.53,eia.gov,false,
2023-01-03 07:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,72.5,101.73,88.61,82.23,eia.gov,false,
2023-01-03 08:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,90.91,122.01,85.47,77.74,eia.gov,false,
2023-01-03 09:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,100.15,132.41,83.85,75.82,eia.gov,false,
2023-01-03 10:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,102.97,135.6,83.31,75.07,eia.gov,false,
2023-01-03 11:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,99.68,132.31,83.67,75.64,eia.gov,false,
2023-01-03 12:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,86.65,117.91,85.82,78.22,eia.gov,false,
2023-01-03 13:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,57.65,86.44,90.45,84.75,eia.gov,false,
2023-01-03 14:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,39.08,66.76,93.2,88.79,eia.gov,false,
2023-01-03 15:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,36.4,63.81,93.68,89.6,eia.gov,false,
2023-01-03 16:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,43.05,70.63,92.88,88.54,eia.gov,false,
2023-01-03 17:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,51.87,80.59,91.27,86.7,eia.gov,false,
2023-01-03 18:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,51.62,80.11,91.41,86.95,eia.gov,false,
2023-01-03 19:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,62.43,91.58,89.83,84.71,eia.gov,false,
2023-01-03 20:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,67.55,97.19,88.99,83.61,eia.gov,false,
2023-01-03 21:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,67.18,96.56,89.2,83.86,eia.gov,false,
2023-01-03 22:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,64.72,93.6,89.72,84.32,eia.gov,false,
2023-01-03 23:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,53.95,82.1,91.3,86.45,eia.gov,false,
2023-01-04 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,40.59,67.99,93.24,89.36,eia.gov,false,
