Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,351.24,392.17,54.33,49.08,eia.gov,false,
2023-01-01 01:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,325.44,363.41,58.23,52.94,eia.gov,false,
2023-01-01 02:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,310.86,346.91,60.58,55.19,eia.gov,false,
2023-01-01 03:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,294.16,328.81,62.73,57.04,eia.gov,false,
2023-01-01 04:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,297.61,332.13,62.42,56.57,eia.gov,false,
2023-01-01 05:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,293.07,327.07,63.11,57.2,eia.gov,false,
2023-01-01 06:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,303.11,338.21,61.59,55.58,eia.gov,false,
2023-01-01 07:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,313.92,351.1,59.45,53.34,eia.gov,false,
2023-01-01 08:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,317.43,353.72,59.61,53.26,eia.gov,false,
2023-01-01 09:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,292.56,327.32,62.8,56.7,eia.gov,false,
2023-01-01 10:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,290.95,326.25,62.67,56.65,eia.gov,false,
2023-01-01 11:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,304.73,341.32,60.74,54.86,eia.gov,false,
2023-01-01 12:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,314.26,350.86,59.91,54.0,eia.gov,false,
2023-01-01 13:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,315.57,352.64,59.66,54.04,eia.gov,false,
2023-01-01 14:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,314.81,351.96,59.7,54.24,eia.gov,false,
2023-01-01 15:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,337.95,378.26,55.96,50.56,eia.gov,false,
2023-01-01 16:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,328.02,369.41,56.78,51.89,eia.gov,false,
2023-01-01 17:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,337.45,372.88,59.46,56.52,eia.gov,false,
2023-01-01 18:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,337.52,373.45,59.28,56.26,eia.gov,false,
2023-01-01 19:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,317.29,353.69,61.1,58.0,eia.gov,false,
2023-01-01 20:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,414.16,455.41,48.85,44.86,eia.gov,false,
2023-01-01 21:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,413.52,454.65,48.95,44.98,eia.gov,false,
2023-01-01 22:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,372.36,411.09,54.3,50.93,eia.gov,false,
