Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,347.15,425.85,32.34,5.95,eia.gov,false,
2023-01-01 01:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,346.62,425.85,32.09,4.69,eia.gov,false,
2023-01-01 02:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,347.06,426.62,31.74,3.6,eia.gov,false,
2023-01-01 03:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,341.6,420.68,32.4,3.17,eia.gov,false,
2023-01-01 04:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,337.85,417.49,32.17,2.24,eia.gov,false,
2023-01-01 05:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,332.31,411.04,33.14,2.14,eia.gov,false,
2023-01-01 06:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,329.16,407.12,33.9,2.28,eia.gov,false,
2023-01-01 07:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,328.6,406.14,34.23,2.17,eia.gov,false,
2023-01-01 08:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,327.55,404.67,34.59,2.13,eia.gov,false,
2023-01-01 09:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,326.63,403.43,34.86,2.14,eia.gov,false,
2023-01-01 10:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,326.48,403.45,34.76,2.34,eia.gov,false,
2023-01-01 11:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,323.18,399.68,35.35,3.0,eia.gov,false,
2023-01-01 12:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,321.35,397.99,35.44,3.83,eia.gov,false,
2023-01-01 13:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,314.98,391.09,36.31,5.25,eia.gov,false,
2023-01-01 14:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,311.81,387.9,36.5,6.68,eia.gov,false,
2023-01-01 15:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,303.35,378.01,38.4,8.79,eia.gov,false,
2023-01-01 16:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,295.46,368.1,40.34,10.97,eia.gov,false,
2023-01-01 17:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,292.86,365.27,40.91,11.64,eia.gov,false,
2023-01-01 18:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,289.33,360.89,41.82,12.67,eia.gov,false,
2023-01-01 19:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,287.12,358.23,42.32,13.16,eia.gov,false,
2023-01-01 20:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,288.24,359.38,42.05,13.2,eia.gov,false,
2023-01-01 21:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,301.81,376.08,38.67,9.75,eia.gov,false,
2023-01-01 22:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,323.98,402.94,33.75,5.38,eia.gov,false,
2023-01-01 23:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,326.68,404.69,34.19,7.27,eia.gov,false,
2023-01-02 00:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,322.65,400.65,34.49,7.52,eia.gov,false,
2023-01-02 01:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,321.11,399.54,34.39,6.36,eia.gov,false,
2023-01-02 02:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,319.71,397.88,34.64,6.12,eia.gov,false,
2023-01-02 03:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,322.51,401.15,34.02,4.71,eia.gov,false,
2023-01-02 04:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,325.57,404.37,33.61,3.32,eia.gov,false,
2023-01-02 05:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,328.07,407.32,33.05,2.27,eia.gov,false,
2023-01-02 06:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,328.5,407.26,33.37,1.86,eia.gov,false,
2023-01-02 07:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,325.07,403.33,33.93,1.86,eia.gov,false,
2023-01-02 08:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,321.84,400.57,33.8,1.84,eia.gov,false,
2023-01-02 09:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,321.73,400.46,33.81,1.8,eia.gov,false,
2023-01-02 10:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,323.42,402.69,33.27,1.28,eia.gov,false,
2023-01-02 11:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,319.16,397.9,33.9,3.35,eia.gov,false,
2023-01-02 12:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,320.89,400.16,33.47,4.47,eia.gov,false,
2023-01-02 13:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,321.75,400.35,34.2,6.12,eia.gov,false,
2023-01-02 14:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,323.3,400.98,34.7,7.64,eia.gov,false,
2023-01-02 15:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,329.2,406.87,34.6,8.47,eia.gov,false,
2023-01-02 16:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,326.34,403.29,35.18,9.09,eia.gov,false,
2023-01-02 17:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,330.77,407.46,35.11,9.07,eia.gov,false,
2023-01-02 18:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,327.85,403.77,35.9,9.89,eia.gov,false,
2023-01-02 19:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,331.15,407.75,35.17,9.35,eia.gov,false,
